station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
309,408 - Hélio Pellegrino,-23.597741851622057,-46.66891624271391,3,19,0.15789473684210525,0.8421052631578947,0.15789473684210525,0,True,Moema,83368,9800,8336.8,-0.008142117246223934,0.1660368540883292
313,313 - Metrô AACD Servidor,-23.5976149401058,-46.6527798263341,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.4748087839128906
315,315 - Metrô Hospital São Paulo,-23.5981107484271,-46.6469924961933,15,19,0.7894736842105263,0.21052631578947367,0.7894736842105263,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.7976158014567503
317,317 - R. Leonardo Nunes,-23.5987326403293,-46.6391030550847,1,15,0.06666666666666667,0.9333333333333333,0.06666666666666667,-1,True,Moema,83368,9800,8336.8,-0.008142117246223934,0.0748087839128906
319,319 - Metrô Moema,-23.6037621017182,-46.6616847898962,17,27,0.6296296296296297,0.37037037037037035,0.6296296296296297,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.6377717468758536
322,322 - Metrô Eucaliptos,-23.609452586953,-46.6681444400963,12,27,0.4444444444444444,0.5555555555555556,0.4444444444444444,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.45258656169066835
325,325 - Pintassilgo,-23.6042556584336,-46.6742727797395,6,11,0.5454545454545454,0.4545454545454546,0.5454545454545454,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.5535966627007693
332,332 - Rua Nova York,-23.6107351221245,-46.6804598847155,9,11,0.8181818181818182,0.18181818181818177,0.8181818181818182,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.3332332377872712
333,333 - Rua Flórida 53,-23.6170138247081,-46.6813978502872,10,15,0.6666666666666666,0.33333333333333337,0.6666666666666666,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.4847483893024228
334,334 - R. Pe. Antônio,-23.6129704331121,-46.6832068389874,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.6847483893024228
